sale_id,sale_datetime,product_id,qty,branch_id,channel
2025-10-17-0,2025-10-17T11:12:00,9,1,5,retail
2025-10-17-1,2025-10-17T22:03:00,43,1,3,ecommerce
2025-10-17-2,2025-10-17T06:09:00,14,3,3,ecommerce
2025-10-17-3,2025-10-17T06:33:00,15,4,3,retail
2025-10-17-4,2025-10-17T17:19:00,50,2,5,retail
2025-10-17-5,2025-10-17T22:35:00,22,4,5,ecommerce
2025-10-17-6,2025-10-17T05:15:00,11,1,2,retail
2025-10-17-7,2025-10-17T14:56:00,3,1,2,ecommerce
2025-10-17-8,2025-10-17T20:50:00,19,4,4,retail
2025-10-17-9,2025-10-17T18:13:00,16,1,4,retail
2025-10-17-10,2025-10-17T12:33:00,44,6,5,ecommerce
2025-10-17-11,2025-10-17T15:45:00,50,2,5,ecommerce
2025-10-17-12,2025-10-17T05:31:00,13,4,5,retail
2025-10-17-13,2025-10-17T08:32:00,4,1,5,retail
2025-10-17-14,2025-10-17T17:36:00,8,1,3,retail
2025-10-17-15,2025-10-17T05:28:00,18,1,4,retail
2025-10-17-16,2025-10-17T07:34:00,29,3,3,retail
2025-10-17-17,2025-10-17T14:09:00,4,1,4,retail
2025-10-17-18,2025-10-17T12:47:00,15,4,1,ecommerce
2025-10-17-19,2025-10-17T03:22:00,46,1,2,retail
2025-10-17-20,2025-10-17T09:47:00,31,1,2,ecommerce
2025-10-17-21,2025-10-17T15:18:00,40,3,3,retail
2025-10-17-22,2025-10-17T05:06:00,36,3,5,ecommerce
2025-10-17-23,2025-10-17T03:47:00,50,2,1,retail
2025-10-17-24,2025-10-17T14:19:00,41,4,5,ecommerce
2025-10-17-25,2025-10-17T02:08:00,8,4,5,retail
2025-10-17-26,2025-10-17T21:34:00,33,1,5,retail
2025-10-17-27,2025-10-17T04:54:00,19,1,2,ecommerce
2025-10-17-28,2025-10-17T06:23:00,43,4,1,ecommerce
2025-10-17-29,2025-10-17T02:18:00,34,1,5,retail
2025-10-17-30,2025-10-17T13:19:00,31,2,1,ecommerce
2025-10-17-31,2025-10-17T12:44:00,17,2,1,ecommerce
2025-10-17-32,2025-10-17T08:13:00,47,1,1,ecommerce
2025-10-17-33,2025-10-17T04:33:00,3,1,2,ecommerce
2025-10-17-34,2025-10-17T23:44:00,31,4,2,retail
2025-10-17-35,2025-10-17T02:09:00,46,3,3,retail
2025-10-17-36,2025-10-17T01:29:00,13,1,1,ecommerce
2025-10-17-37,2025-10-17T10:35:00,33,1,4,ecommerce
2025-10-17-38,2025-10-17T01:14:00,49,5,2,ecommerce
2025-10-17-39,2025-10-17T12:11:00,50,5,3,retail
2025-10-17-40,2025-10-17T12:33:00,28,3,4,ecommerce
2025-10-17-41,2025-10-17T13:11:00,22,5,4,ecommerce
2025-10-17-42,2025-10-17T17:43:00,18,2,1,ecommerce
2025-10-17-43,2025-10-17T02:41:00,28,1,5,ecommerce
2025-10-17-44,2025-10-17T10:57:00,7,1,1,ecommerce
2025-10-17-45,2025-10-17T22:33:00,19,2,4,retail
2025-10-17-46,2025-10-17T23:32:00,29,5,3,ecommerce
2025-10-17-47,2025-10-17T01:26:00,47,4,4,ecommerce
2025-10-17-48,2025-10-17T21:49:00,4,1,1,ecommerce
2025-10-17-49,2025-10-17T12:24:00,33,3,1,retail
2025-10-17-50,2025-10-17T20:44:00,44,1,4,retail
2025-10-17-51,2025-10-17T04:18:00,5,3,3,ecommerce
2025-10-17-52,2025-10-17T19:21:00,3,5,5,retail
2025-10-17-53,2025-10-17T23:10:00,29,4,1,retail
2025-10-17-54,2025-10-17T18:04:00,24,2,4,ecommerce
2025-10-17-55,2025-10-17T22:10:00,18,3,2,ecommerce
2025-10-17-56,2025-10-17T17:40:00,25,3,5,retail
2025-10-17-57,2025-10-17T08:56:00,50,2,5,ecommerce
2025-10-17-58,2025-10-17T23:41:00,32,5,2,retail
2025-10-17-59,2025-10-17T04:37:00,5,1,4,retail
2025-10-17-60,2025-10-17T23:16:00,21,4,3,retail
2025-10-17-61,2025-10-17T18:46:00,35,2,2,retail
2025-10-17-62,2025-10-17T12:20:00,33,4,2,retail
