sale_id,sale_datetime,product_id,qty,branch_id,channel
2025-10-15-0,2025-10-15T09:23:00,16,2,2,retail
2025-10-15-1,2025-10-15T03:29:00,44,2,5,ecommerce
2025-10-15-2,2025-10-15T01:05:00,2,1,1,retail
2025-10-15-3,2025-10-15T07:56:00,33,1,5,ecommerce
2025-10-15-4,2025-10-15T07:31:00,29,1,5,ecommerce
2025-10-15-5,2025-10-15T00:13:00,49,4,3,ecommerce
2025-10-15-6,2025-10-15T05:18:00,14,1,3,retail
2025-10-15-7,2025-10-15T03:09:00,25,6,5,ecommerce
2025-10-15-8,2025-10-15T01:28:00,47,5,4,retail
2025-10-15-9,2025-10-15T12:55:00,6,1,5,ecommerce
2025-10-15-10,2025-10-15T19:42:00,13,1,1,retail
2025-10-15-11,2025-10-15T22:34:00,15,3,2,retail
2025-10-15-12,2025-10-15T12:58:00,18,1,4,ecommerce
2025-10-15-13,2025-10-15T05:33:00,24,1,1,retail
2025-10-15-14,2025-10-15T18:13:00,47,5,2,retail
2025-10-15-15,2025-10-15T15:46:00,25,2,5,retail
2025-10-15-16,2025-10-15T23:22:00,21,7,1,retail
2025-10-15-17,2025-10-15T01:05:00,21,2,5,ecommerce
2025-10-15-18,2025-10-15T07:15:00,42,3,4,ecommerce
2025-10-15-19,2025-10-15T21:56:00,30,3,5,ecommerce
2025-10-15-20,2025-10-15T19:57:00,28,3,5,ecommerce
2025-10-15-21,2025-10-15T12:21:00,15,4,4,retail
2025-10-15-22,2025-10-15T01:36:00,8,2,2,retail
2025-10-15-23,2025-10-15T23:13:00,28,1,5,ecommerce
2025-10-15-24,2025-10-15T18:03:00,17,1,5,retail
2025-10-15-25,2025-10-15T23:13:00,47,6,3,ecommerce
2025-10-15-26,2025-10-15T03:48:00,19,5,4,retail
2025-10-15-27,2025-10-15T15:29:00,1,6,3,retail
2025-10-15-28,2025-10-15T17:19:00,7,1,3,retail
2025-10-15-29,2025-10-15T05:13:00,24,3,5,retail
2025-10-15-30,2025-10-15T20:26:00,21,1,4,retail
2025-10-15-31,2025-10-15T03:49:00,24,5,3,retail
2025-10-15-32,2025-10-15T01:58:00,16,1,5,retail
2025-10-15-33,2025-10-15T02:55:00,47,2,5,retail
2025-10-15-34,2025-10-15T04:22:00,43,3,4,retail
2025-10-15-35,2025-10-15T09:02:00,34,4,2,retail
2025-10-15-36,2025-10-15T10:38:00,26,1,3,ecommerce
2025-10-15-37,2025-10-15T17:39:00,29,4,3,retail
2025-10-15-38,2025-10-15T20:04:00,36,3,2,retail
2025-10-15-39,2025-10-15T00:14:00,5,2,1,retail
2025-10-15-40,2025-10-15T11:16:00,5,2,5,retail
2025-10-15-41,2025-10-15T09:30:00,43,1,5,ecommerce
2025-10-15-42,2025-10-15T08:17:00,31,3,4,retail
2025-10-15-43,2025-10-15T03:13:00,7,1,4,ecommerce
